COMPANY, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
罗克韦尔自动化, MES 项目工程师/方案工程师/JAVA软件工程师, 面议, 西安-高新区, 本科及以上, 经验不限, 工作地点：西安高新区 应聘要求：1~3年java开发经验，适应50%-60%项目出差。 熟悉MES者优先，英语读写。  JOB DETAILS - Design. Implementation. Qualification. and Operation of MES systems using Factor Talk Production Center (FTPC)/ FTPS (Factory Talk Pharma Suite and software development using Java language  Job Purpose - Deliver & execute the assigned project / work package on time with good quality. cost effectiveness and customer satisfaction. - Ensure technical deliverables matches project / work package requirements. Save engineering cost for GEC team through application & technical expertise.  Key Responsibilities - Design. define and implement complex system requirements for customers and/or prepare study and analyze existing systems. Determine system specifications. input/output processes and working parameters for hardware/software compatibility. - Coordinate design of subsystems and integration of total system. - Identify. analyze and resolve program support deficiencies. Develop and recommend corrective actions. - Complete Project task based on work assignment. - Deliver & execute the assigned projects on time with good quality/ cost effectiveness and customer satisfaction - Keep improving self-engineering capabilities and exchange best practice with other team members to improve team’s capabilities. - Support Team Leader / Lead Engineer on technical issues. - Work closely with Team Leader / Lead Engineer to guarantee customer acceptance. - Ensure project implementation follows the engineering delivery standard. - Maximize reusable standard product and engineering in project delivery. - Technical implementation in whole life-cycle of project / work package delivery. - Work with Team Leader to manage technical risk in project / work package execution. - Work with Team Leader to clarify technical issues. - Coach and develop Project Engineers. - Cost reduction through process & manufacturing improvement. and through development of reusable engineering or engineering standard. - Work closely with Team Leader to achieve customer acceptance. Demonstrate application & technical expertise to achieve repeat order and retain customer satisfaction.   EDUCATIONAL QUALIFICATIONS / WORK EXPERIENCE - Bachelor’s degree in Engineering - 3 to 5 years of relevant experience in software development. programming. preferably implementing Manufacturing Execution Systems(MES). - Languages: Java. Servlets; Exposure / experience with JavaScript. JQuery. CSS is a plus - Operating Systems: Windows Server 2003/2008. Windows. - Scripting Languages: Pnut Script. Ant Script; Bug Tracking Tool: Jira. - Automation engineering on PLCs (Rockwell – Control Logix. Factory Talk Production Center (FTPC)/ FTPS (Factory Talk Pharma Suite) etc.) will be preferred. - Experience in Design. development and deployment of Rockwell’s MES solution (using FTPC / FTPS) will be preferred.  OTHER REQUIREMENTS - Travel – 50-70% - Actual travel will vary based on business and work package requirement.
国基科技, JAVA软件开发工程师, 10-12万, 西安-高新区, 本科及以上, 5年工作经验, 任职要求： 1、熟悉java，有一定的项目基础，熟悉SSH框架，熟悉SNMP协议； 2、有数据库方面的编程基础； 3、接触过开源项目； 4、工作认真、细致、负责，思维灵活。 岗位职责： 1、服务端平台的开发； 2、消息机制、SNMP模块的设计和编写； 3、项目相关文档的编写。
北京中科物安科技有限公司, Java开发工程师, 10-16万, 西安-高新区, 本科及以上, 3年工作经验, 1. 全日制计算机或相关专业本科毕业，六年以上开发经验。 2. 熟悉JVM内存管理，精通多线程编程和网络编程，至少精通一种WEB应用框架。 3. 精通Mysql数据库及Mybatis，Hibernate等ORM框架。 4. 熟悉JAVA 8新特性，有相关开发经验者尤佳。 5. 了解css.js.html等前端脚本语言，有对接开发经验者尤佳。 6. 熟悉Kafka等分步式高并发消息队列。 8. 熟练掌握Ubuntu等linux系统开发环境，熟悉shell脚本语言者尤佳。 9. 熟悉git，maven等管理工具。 10.具有安全领域工作经验者优先。
杭州世平信息科技有限公司, java后台开发工程师, 10-17万, 西安-雁塔区, 本科及以上, 3年工作经验, 岗位职责： 1、完成所承担功能模块的开发与单元测试任务； 2、完成所承担功能模块与其他模块的集成、部署、修改、重构与调优； 3、根据公司的要求编写相关的技术文档：撰写所承担功能模块的设计说明书、开发说明书、测试与部署文档等； 4、有扎实的java编程功底，熟练掌握java语言的基本原理； 5、熟悉使用Spring MVC、Spring等主流框架； 6、熟练使用 SVN 、tomcat、idea、maven等开发构建工具； 7、熟悉MySql、mongodb数据库，能写一定复杂度的SQL； 8、熟练掌握AJAX、JavaScript、JQuery、CSS等前端技术。 任职要求： 1、吃苦耐劳，可适应短期出差。
杭州世平信息科技有限公司, Java工程师, 8-14万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1、完成所承担功能模块的开发与单元测试任务； 2、完成所承担功能模块与其他模块的集成、部署、修改、重构与调优； 3、根据公司的要求编写相关的技术文档：撰写所承担功能模块的设计说明书、开发说明书、测试与部署文档等； 4、有扎实的java编程功底，熟练掌握java语言的基本原理； 5、熟悉使用Spring MVC、Spring等主流框架； 6、熟练使用 SVN 、tomcat、idea、maven等开发构建工具； 7、熟悉MySql、mongodb数据库，能写一定复杂度的SQL； 8、熟练掌握AJAX、JavaScript、JQuery、CSS等前端技术。 任职要求： 1、吃苦耐劳，可适应短期出差； 发展前景： 自主产品研发及创新，我们这里提供你设计和研究的充分环境，快乐工作快乐赚钱。
识代运筹, java j2ee web开发工程师, 7-12万, 西安, 学历不限, 经验不限, 岗位职责： 1.负责识代数据分析的产品研发； 2.研究前端前沿技术，如数据可视化，数据报表，多维分析等，并探索应用于数据产品。 任职要求： 1.两年以上工作经验，专科以上学历； 2.精通 JavaScript/HTML/CSS，熟悉常见跨浏览器问题； 3.熟悉HTML5技术.有移动端网站开发者优先； 4.熟悉基于j2ee的web开发； 5.熟悉主流JavaScript框架和库（jquery，zepto，extjs，angular js .boostrap），了解框架设计原理，有良好的WEB前端优化经验； 6.熟悉数据可视化，数据报表工具，能使用 highcharts，echart，d3js 等。
数尊, 高级JAVA开发工程师, 12-24万, 西安-高新区, 本科及以上, 3年工作经验, 职位描述： 1、 3年以开发经验，熟悉业界流行的Spring，SpringMVC，myBatis等Java技术框架；熟悉消息队列等中间件； 2、熟练使用MySQL数据库，有MongoDB、Redis等相关经验，有数据库优化经验；有hadoop大数据经验优先，有实时流计算经验优先； 3、 很强的学习能力，对技术热情，能够进行复杂系统的设计和实现，有架构经验； 4、 有很强的责任心和良好的团队合作精神，喜欢接受技术挑战； 工作职责： 1、参与需求调研，独立完成系统分析设计，编写核心代码，确保项目的进度和质量。 2、负责解决产品开发中的关键问题和技术难题。 3、根据产品要求规范，负责编写相关技术文档。 4、进行新技术调研，进行产品架构规划。
珠海网博信息科技股份有限公司, Java高级软件工程师, 10-18万, 西安-雁塔区, 大专及以上, 3年工作经验, 技能要求： 1、计算机或相关专业毕业，至少三年以上工作经验。  2、熟悉J2EE架构体系，熟悉JSP/Servlet、JS、JQuery等WEB开发技术，熟悉Spring、SpringMVC、Struts、Hibernate和myBatis等主流的开发框架。  3、精通JAVA面向对象开发思想，精通面向接口、抽象开发思想，精通MVC分层开发思想，熟悉OOAD、设计模式，以及UML语言和数据库建模工具。  4、掌握数据库设计原理，熟悉SQLServer、Oracle、MySQL等数据库，有良好的数据库设计能力和SQL编写能力，了解数据库优化、数据库存储引擎和读写分离。  5、掌握WEB部署，对常用的WEB容器Websphere、Weblogic、JBoss、Tomcat、Apache、Nginx有基本的配置经验，了解高可用。  6、做事严谨踏实、责任心强、条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。  7、了解分布式环境开发，有大数据处理经验，熟悉Hadoop、Spark、Storm、Hive、HBase、NoSQL优先。
陕西中矿科技有限公司, JAVA高级开发工程师, 面议, 西安-高新区, 统招本科, 5年工作经验, 职位描述：  1、 负责公司产品及项目的开发、实施工作；  2、 负责系统架构设计及JAVA开发框架搭建；  3、 搭建系统开发环境，完成系统框架和核心代码的实现；  4、 指导程序员完成日常开发工作；  5、 参与项目概要设计、详细设计、开发计划等的编制并实施；  6、 参与系统开发测试、部署和集成；  7、 负责解决开发过程中的技术问题；  8、 编写项目文档、质量记录以及其他有关文档；  9、 根据部门统一工作安排，制定个人工作计划和目标，高效完成工作任务.  任职资格：  1、 全日制统招本科及以上学历，计算机类相关专业背景，5年以上J2EE体系架构的大中型项目开发经验；  2、 具有面向对象的分析、设计、开发能力，精通 UML 和 ROSE，熟练使用 Rational Rose、PowerDesigner 等工具进行设计开发；  3、 精通JAVA、J2EE体系架构，熟练掌握主流开发技术和开发框架（例如： SpringMVC/Struts2 、 Spring、Hibernate、Ibatis/Mybatis、Web service、XML、maven、extjs/jquery、div+css等）；  4、 熟悉Unix/Linux平台，精通大型数据库如：Oracle、MySQL、Sql Server 等的开发，精通SQL，有存储过程编写能力；  5、 具有良好的业务沟通能力，具有良好的团队合作精神，具备独立开发能力。
西安科技大市场, 高级java开发工程师, 12-18万, 西安, 大专及以上, 5年工作经验, 职位描述 1、参与公司相关产品的设计、研发和优化工； 2、独立完成模块设计，并编写出相应的设计、开发文档； 3、独立完成技术攻关及重大问题解决； 4、与研发团队成员进行技术交流，互相促进技术能力的提高；  职位要求 1、具有五年以上使用Java进行web开发的经验，并具备良好的技术素养，具备技术架构设计能力； 2、擅长系统分析与设计，有大型项目基础及应用架构设计经验，熟悉掌握分布式部署环境； 3、精通Java语言开发，Java基础扎实，精通分布式、缓存、消息、搜索等机制，熟悉各种常用开源框架； 4、熟悉Java EE规范，熟悉常用的设计模式，深刻理解MVC和Spring MVC设计理念； 5、熟悉大流量、高并发、高性能的分布式系统的设计及应用，熟悉安全机制及性能调优； 6、熟练使用Tomcat、JBoss、Weblogic、Websphere等一种或多种Web/Application Server； 7、熟练版本管理； 8、要求有扎实的基本功，严谨的逻辑思维，独立思考和开发能力，良好的协作意识及团队精神，代码规范强迫症患者优先；
