COMPANY, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
上海惠成金融信息服务有限公司, java开发工程师, 12-22万, 西安-新城区, 本科及以上, 2年工作经验, 工作职责： 1.负责系统后端JAVA程序的设计和开发； 2.辅助架构师进行系统需求分析和架构设计工作； 3.根据设计文档或需求说明完成代码编写、调试和维护工作； 4.分析并解决软件开发过程中的问题； 5.协助测试工程师制定测试计划，定位发现的问题； 6.进行定期的code review，保证代码质量的可持续提高。 职位要求： 1.计算机及相关专业本科及以上学历，曾任职互联网金融或消费金融公司； 2.具备大型交易系统和小贷系统开发经验者优先； 3.精通JAVA开发，3年以上Java开发经验，有B/S架构开发经验； 4.精通Spring，Hibernate，Dubbo等主流开源框架； 5.精通各种设计模式，具有面向对象的分析能力以及编码能力； 6.喜欢新技术的学习、调研和尝试，有解决技术难题的决心和能力，有创新能力； 7.有良好的沟通协调能力，有责任心。
加速云, Java软件研发工程师2, 7-22万, 西安, 统招本科, 2年工作经验, 职责描述： 1、在主管指导下按照设计文档进行软件设计及编码； 2、熟悉软件开发流程，能够理解需求设计文档； 3、基于需求完成软件模块设计及编码，能够解决开发中的一般问题； 4、负责相关开发模块的测试，对unit测试有一定的了解。 任职要求： 1、本科及以上学历，计算机相关专业，2-3年Java Web项目开发经验； 2、熟悉Java编程语言；理解J2EE、Servlet、JSP、Javabean；熟练掌握Jquery框架； 3、熟悉MVC框架（Spring MVC/Struts）；熟悉ORM框架（Hibernate/Mybatis）； 4、熟悉Spring，理解IOC和AOP； 5、熟悉JavaScript、HTML、CSS、XML、ExtJS、JSON、AJAX等前端技术； 6、了解关系数据库原理，至少掌握Oracle、SQLSever、MySQL等数据库中的一种； 7、了解自动化测试，熟悉JUnit，能够开发UT、ST测试用例； 8、熟悉Linux/Unix操作系统；熟悉Python脚本优先； 9、具备良好的沟通和团队协作能力； 10、具有较强的学习能力和逻辑思维能力； 11、工作积极主动，具有高度的责任心。
信雅达, Java工程师, 7-12万, 西安, 本科及以上, 经验不限, 工作内容及职责： 1、软件的程序设计与代码编写。 2、有关技术方案、文档的编写，软件单元的测试。 3、根据项目具体要求，承担开发任务，按计划完成任务目标。 4、配合系统分析人员完成软件系统以及模块的需求调研、需求分析。 5、独立完成软件系统及模块的编码。 6、协助测试人员完成软件系统及模块的测试。 7、负责编制与项目相关的技术文档。 岗位要求： 1、 计算机相关专业，全日制本科及以上学历； 2、 1-4年左右开发经验，熟悉软件开发的主要流程，可以根据制定要求完成设计、编码、测试等工作； 3、 熟练掌握java语言，熟悉J2EE各项相关技术和主流应用框架，包括Hibernate、Struts、Spring等； 4、 有J2EE环境下的B/S项目开发经验； 5、 深刻理解MVC架构； 6、 熟练使用Oracle/SQL server数据库； 7、 掌握Webogic、WebSphere、Tomcat等web服务器的使用配置； 8、 有金融行业软件开发经验优先； 9、 能够适应出差
中油瑞飞, Java开发工程师（西安分公司）, 面议, 西安, 统招本科, 3年工作经验, 岗位职责: 1、根据项目需求，负责模块概要设计； 2、负责项目的开发工作； 3、负责项目与其他应用系统的集成工作； 4、负责代码实现、单元测试、代码修改和维护等工作，设计出符合需求的软件  任职资格: 1、3年以上java开发经验； 2、具有一定架构设计的能力； 3、具有HTML/XML，Java，JSP，JavaScript等的开发经验和独立编程能力； 4、熟练使用Eclipse，Tomcat，Apache等工具和SSH等Java常用开源框架； 5、熟悉供应链管理领域知识的优先考虑； 6、熟悉电子商务领域知识优先考虑；
北京青麦科技有限公司, Java开发/项目主管, 10-13万, 西安-雁塔区, 统招本科, 3年工作经验, 岗位职责：  1、分析客户需求，在与客户充分沟通基础上，可以根据以往项目经验向客户提出合适的方案及建议； 2、根据客户要求，进行软件项目的设计与开发，其成果满足客户需求； 3、能独立完成子系统或模块的设计与开发，包括用户接口、业务逻辑定义、数据模型的设计与开发等； 4、能够适应客户现场开发工作，与开发团队中其它成员共同开发有效沟通，包括项目经理、技术经理、其它工程师，设计出高性能、可扩展而且符合用户需求的方案。 5、能适应短期出差。 任职要求： 1、计算机相关专业本科以上学历，能适应短期出差。； 2、熟悉银行业务，有银行IT系统项目经验者优先考虑； 3、有良好的沟通能力，在与客户充分沟通基础上，可以根据以往项目经验向客户提出合适的方案及建议； 4、2年以上J2EE开发经验，精通Java/JavaScript/PLSQL/XML/JSP，熟悉SSH框架，了解其原理并且能够基于框架快速完成功能开发，熟练使用ExtJS； 5、熟悉oracle或db2 数据库根据业务需求能够写出高效的SQL语句； 6、熟悉weblogic或websphere，能够独立完成应用程序的部署或更新； 7、参与过工作流产品研发经验者优先。
北京青麦科技有限公司, java高级工程师, 10-13万, 西安-雁塔区, 统招本科, 3年工作经验, 岗位职责： 1、分析客户需求，在与客户充分沟通基础上，可以根据以往项目经验向客户提出合适的方案及建议； 2、根据客户要求，进行软件项目的设计与开发，其成果满足客户需求； 3、能独立完成子系统或模块的设计与开发，包括用户接口、业务逻辑定义、数据模型的设计与开发等； 4、能够适应客户现场开发工作，与开发团队中其它成员共同开发有效沟通，包括项目经理、技术经理、其它工程师，设计出高性能、可扩展而且符合用户需求的方案； 5、能适应出差。 任职要求： 能接受出差 1、计算机相关专业本科以上学历，能接受短期出差； 2、熟悉银行业务，有银行IT系统项目经验者优先考虑； 3、有良好的沟通能力，在与客户充分沟通基础上，可以根据以往项目经验向客户提出合适的方案及建议； 4、2年以上J2EE开发经验，精通Java/JavaScript/PLSQL/XML/JSP，熟悉SSH框架，了解其原理并且能够基于框架快速完成功能开发，熟练使用ExtJS； 5、熟悉oracle或db2 数据库根据业务需求能够写出高效的SQL语句； 6、熟悉weblogic或websphere，能够独立完成应用程序的部署或更新； 7、参与过工作流产品研发经验者优先。
北京青麦科技有限公司, 高级java工程师/项目经理, 10-12万, 西安-雁塔区, 本科及以上, 3年工作经验, 岗位职责： 能接受出差 1、分析客户需求，在与客户充分沟通基础上，可以根据以往项目经验向客户提出合适的方案及建议； 2、根据客户要求，进行软件项目的设计与开发，其成果满足客户需求； 3、能独立完成子系统或模块的设计与开发，包括用户接口、业务逻辑定义、数据模型的设计与开发等； 4、能够适应客户现场开发工作，与开发团队中其它成员共同开发有效沟通，包括项目经理、技术经理、其它工程师，设计出高性能、可扩展而且符合用户需求的方案。 任职要求： 能接受出差 1、计算机相关专业本科以上学历； 2、熟悉银行业务，具有丰富的银行IT系统项目经验者优先考虑； 3、有良好的沟通能力，在与客户充分沟通基础上，可以根据以往项目经验向客户提出合适的方案及建议； 4、2年以上J2EE开发经验，精通Java/JavaScript/PLSQL/XML/JSP，熟悉SSH框架，了解其原理并且能够基于框架快速完成功能开发，熟练使用ExtJS； 5、熟悉oracle或db2 数据库根据业务需求能够写出高效的SQL语句； 6、熟悉weblogic或websphere，能够独立完成应用程序的部署或更新； 7、参与过工作流产品研发或流程管理（BPM）项目经验者优先。
西安青松光电技术有限公司, Java高级开发工程师, 10-12万, 西安, 学历不限, 3年工作经验, 岗位职责： 1、负责产品项目业务功能实现、程序设计、数据库设计； 2、负责应用系统各模块功能代码的编写； 3、负责对内、对外接口设计、实现，与前端工程师合作，开发交互、性能、安全性良好的应用； 4、参与编写产品详细设计、接口设计； 5、负责解决开发过程中的技术问题； 6、负责技术文档的编写； 7、协助项目经理制定项目计划和控制项目进度； 任职资格： 1. 学历要求：本科及以上； 2. 工作经验：3年以上软件设计及开发，对云计算有深入理解和实践； 3. 熟悉J2EE架构和相关技术，熟悉Maven的使用，精通Spring、SpringMVC、Mybatis等主流框架；； 4. 较强的java 语言功底，熟悉I/O.多线程，熟悉分布式、缓存等机制。 5. 熟练掌握Java、XML、javascript、jquery，css.Ajax.WebService等； 6. 熟悉白盒测试相关方法，能够熟练编写测试类； 7. 熟悉Sqlserver、MySQL等数据库，能够编写存储过程、触发器、定时任务等脚本； 8. 具有一定的计算机网络知识和安全攻防知识； 9. 具备较好的学习和沟通能力，责任心强，有良好的合作精神和团队意识。
西安青松光电技术有限公司, java高级工程师, 10-12万, 西安, 学历不限, 经验不限, 岗位职责： 1、负责产品项目业务功能实现、程序设计、数据库设计； 2、负责应用系统各模块功能代码的编写； 3、负责对内、对外接口设计、实现，与前端工程师合作，开发交互、性能、安全性良好的应用； 4、参与编写产品详细设计、接口设计； 5、负责解决开发过程中的技术问题； 6、负责技术文档的编写； 7、协助项目经理制定项目计划和控制项目进度； 任职资格： 1. 学历要求：本科； 2. 工作经验：3年以上软件设计及开发，对云计算有深入理解和实践； 3. 熟悉J2EE架构和相关技术，熟悉Maven的使用，精通Spring、SpringMVC、Mybatis等主流框架；； 4. 较强的java 语言功底，熟悉I/O.多线程，熟悉分布式、缓存等机制。 5. 熟练掌握Java、XML、javascript、jquery，css.Ajax.WebService等； 6. 熟悉白盒测试相关方法，能够熟练编写测试类； 7. 熟悉Sqlserver、MySQL等数据库，能够编写存储过程、触发器、定时任务等脚本； 8. 具有一定的计算机网络知识和安全攻防知识； 9. 具备较好的学习和沟通能力，责任心强，有良好的合作精神和团队意识。
广州思迈特软件有限公司, java高级开发工程师, 面议, 西安-莲湖区, 统招本科, 5年工作经验, 岗位职责： 1、参与项目的需求分析，负责项目的架构设计、模块设计和开发； 2、与技术团队共同参与项目规划、需求完善等沟通工作； 3、确保系统平台技术架构合理，技术文档齐备； 4、完成系统性能优化、技术攻关、提出改进方案； 5、完成系统核心算法的编写验证等工作； 6、具有良好的学习能力，能够根据公司要求学习相应的技术满足开发需求。   任职要求： 1、计算机相关专业，5年以上工作经验，有扎实的JAVA基础，熟悉J2EE体系架构 ，具有B/S应用开发经验； 2、做事有条理、思路清晰，沟通能力强； 3、精通SSH等开源框架，熟悉Web开发，有大型项目开发经验优先； 4、熟练使用CSS、JavaScript、Ajax和JQuery框架等前端技术； 5、精通Web Service相关技术细节，使用过报表工具； 6、精通Oracle数据库SQL应用、触发器、存储过程、视图等，具有相关性能调优经验尤佳； 7、熟悉Linux系统，并且能在Linux系统中开发和部署产品，熟悉SHELL脚本； 8、有中大型项目架构设计经验或项目管理经验者优先。
