NAME, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
西安甄一创展网络科技有限公司, python开发, 18-36万, 西安-高新区, 统招本科, 3年工作经验, 职位描述： 1. 熟悉Python，掌握基本数据结构，熟悉标准数据库，认同Python设计理念；（编程语言） 2. 熟悉常见的Python框架，精通Tornado，flask，django优先；（服务框架） 3. 熟悉常见的数据库，熟练掌握PostgreSQL，Mongodb，Redis者优先（数据库） 4. 掌握Linux操作系统. 熟悉nginx. gunicorn； 5. 具有良好的编码习惯，文档书写习惯，优秀的团队合作和独立抗压能力，善于学习，乐于分享 6. 了解常见消息队列系统，RabbitMQ等
Yeahmobi, 运维开发工程师【python / PHP】, 11-22万, 西安, 学历不限, 2年工作经验, 岗位职责：  1. 负责Yeahmobi运维平台和监控平台的设计和开发工作  2. 负责自动化运维平台开发.    岗位要求：  1.两年以上，具备Python或者PHP项目经验，熟练掌握Django等Web开发框架  2.熟悉Linux系统. MYSQL数据库. 有时序数据库和ELK日志分析开发经验优先.  3.具备web开发经验，熟练掌握JavaScript、HTML、JQuery、CSS相关技术  4.熟悉自动化运维工具(saltstack/ansible)的原理及使用.  5.有任务调度编排、监控系统、AWS云服务产品. CMDB系统相关开发经验者优先
西安图迹信息科技有限公司, Python程序员, 5-7万, 西安, 本科及以上, 1年工作经验, 工作内容: 1.数据采集后台接口和计算后台作业开发。 2.维护软件使之保持可用性和稳定性。 3.和团队一起做数据进行统计、分析、挖掘，开发原型验证数学模型。 岗位要求： 1.熟悉Python语言，具备Python开发、调试经验。 2.掌握Flask、Tornado等Web框架；掌握Git的使用。 3.熟悉Python读写常见数据库的方法。 4.逻辑思维能力强，性格开朗，责任心强，工作积极主动；有良好的团队合作精神，有较强的沟通及协调能力；具备独发现问题和解决问题能力，自学能力强。 5.熟悉Python开发网络爬虫者优先；熟悉设计模式者优先；有撰写编码注释的习惯优先。
文思海辉, python开发, 12-24万, 西安-高新区, 统招本科, 2年工作经验, 职责描述： 本科及以上学历. 有良好的计算机专业基础知识和扎实的编程功底 精通 Python 熟练掌握至少一门 Python web 开发框架(Django、Flask、Tornado等)； 熟悉 MySQL/PostgreSQL/Redis/MongoDB ； 熟悉 Linux 平台 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 加分项： 熟悉 spark/hadoop/hbase 等至少一种分布式系统 有持续集成、 docker 、机器学习、数据可视化等相关经验者优先 熟悉 web 开发优先  任职要求： 本科及以上学历. 有良好的计算机专业基础知识和扎实的编程功底 精通 Python 熟练掌握至少一门 Python web 开发框架(Django、Flask、Tornado等)； 熟悉 MySQL/PostgreSQL/Redis/MongoDB ； 熟悉 Linux 平台 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 加分项： 熟悉 spark/hadoop/hbase 等至少一种分布式系统 有持续集成、 docker 、机器学习、数据可视化等相关经验者优先 熟悉 web 开发优先
神州绿盟信息, 实习攻防研发工程师, 2-5万, 西安-雁塔区, 本科及以上, 经验不限, 职责描述： 漏洞自动验证的持续维护工作  任职要求： 基本要求： 1.有至少一年的python开发经验.知道python的网络编程和并发编程 2.对linux系统有基本的熟悉.使用知道linux的基本原理 3.有数据库的使用和编码经验 4.对web和系统安全有一定的了解，使用过安全工具wireshark.burpsuite.metaspoit.sqlmap.nmap 知道基本的漏洞原理，xss.sql注入，ddos攻击，java表达式注入，文件上传，命令注入 5.知道基本的http协议  加分项： 1.有自己的技术博客并且里面有大量的原创收录文章 2.有自己的github并有自己的开源项目 3.在安全论坛上面有自己提交的漏洞 4.参加过编程或者安全竞赛并取得名次 5.懂web开发或者自己搭建过web站点 6.信息安全专业，计算机专业，软件工程专业
神州绿盟信息, web开发工程师, 10-12万, 西安-高新区, 本科及以上, 2年工作经验, 岗位职责： 1. 参与产品中的开发设计工作； 2. 负责产品web开发； 3. 实现代码需要能够在大数据量、高并发的场景下有优异的性能和稳定性表现； 4. 能快速满足不断变化的业务提出的需求、应对大数据所带来的技术挑战；对业界领先的技术和平台进行研究、测试，并且能够应用在实际环境中。  岗位要求： 1. 2年以上相关工作经验； 2. 熟悉python，熟悉django（或其他python web开发框架）；如果熟悉php/java的web开发亦可； 3. 了解MVC开发模式； 4. 熟悉web前端开发，精通HTML/CSS/JavaScript等技术，对jQuery AngularJS有一定了解和使用； 5. 具备团队合作精神，积极的工作态度和较强的责任心，良好的沟通和学习能力。  优先考虑： 1. 有互联网从业背景； 2. 熟悉nginx、Redis、MongoDB、MySQL等开源软件； 3. 有过大规模性能调优经验； 4. 了解常见WEB攻击手段和防护技术。
北京北信源软件股份有限公司西安分公司, 运维（DB）工程师, 5-7万, 西安, 统招本科, 2年工作经验, 职位描述： 1. 管理服务器集群.保障服务稳定安全可用 2. 管理和配置软硬件的监控 3. 开发运维平台系统 4. 研究服务架构.实施架构优化。 任职要求： 5. 精通Linux操作系统 6. 熟悉数据库（mysql.oracle） 7. 熟悉互联网架构，有大型架构经验优先 8. 熟悉redis，docker.zookeeper.kafka 9. 熟悉shell.python
神州绿盟信息, 系统漏洞安全研究员（西安）, 12-18万, 西安-雁塔区, 本科及以上, 2年工作经验, 任职资格： 1、 本科及以上学历，2年及以上网络安全相关工作经验 2、 有Linux/Unix环境下的工作能力 3、 规范、严谨的C代码编写及调试能力 4、 至少熟练一种脚本语言（如：Python） 5、 TCP/IP及主要应用层协议的理解和分析能力 6、 对漏洞利用有一定理解和分析能力者优先 7、 爱好网络安全，并有研究和学习的兴趣 8、 具备一定的英文读写能力 工作职责： 职位工作内容简要综述：系统扫描插件研究员  工作职责： 1、 漏洞扫描插件开发工作 2、 漏洞利用或者攻击手法对应的扫描插件开发和协助测试 3、 系统插件相关反馈处理
北京北信源软件股份有限公司西安分公司, 高级运维（DB）工程师, 面议, 西安, 大专及以上, 5年工作经验, 职位描述： 1.提供运维相关咨询，帮助客户解决疑难问题并提出改进建议； 2.对客户和内部交付团队提供运维相关技术支持和保障； 3.有敏锐的技术嗅觉，能非常熟练的掌握业界涌现的各种新技术和新工具； 4.工作责任心强、性格开朗、善于沟通、工作细心、做事有条理、善于在工作中学习与总结；  任职要求： 1.精通linux系统内核性能优化、操作系统的管理及一定的排错能力； 2.精通Shell、Python中的至少一种语言，负责产品的一键安装包制作； 3.熟练mysql数据库性能调优、错误排查、各种架构部署及备份恢复机制； 4.熟悉分布式系统下的tomcat、nginx、redis、fastdfs、ftp、mq等软件安装部署和调优； 5.有虚拟化、容器技术、产品部署方案等经验者优先； 6.具备较强的抗压能力，有良好的团队合作精神和沟通能力配合研发共同完成任务。
加速云, Java软件研发工程师2, 7-22万, 西安, 统招本科, 2年工作经验, 职责描述： 1、在主管指导下按照设计文档进行软件设计及编码； 2、熟悉软件开发流程，能够理解需求设计文档； 3、基于需求完成软件模块设计及编码，能够解决开发中的一般问题； 4、负责相关开发模块的测试，对unit测试有一定的了解。 任职要求： 1、本科及以上学历，计算机相关专业，2-3年Java Web项目开发经验； 2、熟悉Java编程语言；理解J2EE、Servlet、JSP、Javabean；熟练掌握Jquery框架； 3、熟悉MVC框架（Spring MVC/Struts）；熟悉ORM框架（Hibernate/Mybatis）； 4、熟悉Spring，理解IOC和AOP； 5、熟悉JavaScript、HTML、CSS、XML、ExtJS、JSON、AJAX等前端技术； 6、了解关系数据库原理，至少掌握Oracle、SQLSever、MySQL等数据库中的一种； 7、了解自动化测试，熟悉JUnit，能够开发UT、ST测试用例； 8、熟悉Linux/Unix操作系统；熟悉Python脚本优先； 9、具备良好的沟通和团队协作能力； 10、具有较强的学习能力和逻辑思维能力； 11、工作积极主动，具有高度的责任心。
