NAME, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
长京益康, C#.NET程序员, 面议, 西安-高新区, 本科及以上, 经验不限, 1.熟悉Javascript等Web开发技术，精通html/xhtml、css等网页制作技术，熟悉页面架构和布局； 2.熟悉web标准，对表现与数据分离，html语言化等有深刻理解； 3.熟练掌握.NET Framework构架；熟练使用Visual Studio.NET开发工具； 4.熟悉主流数据库（例如Oracle、MSSQL、Mysql、PostgreSQL）中至少一种，熟练使用SQL语句； 5. 有良好的沟通能力、处理解决问题的能力、强烈的责任感和敬业精神，能承受相当的工作压力
国基科技, C++中级开发工程师, 7-10万, 西安-高新区, 本科及以上, 2年工作经验, 岗位职责： 1. 独立负责系统中等规模的功能，包括：模块的详细设计、实现及单元测试； 2. 负责功能模块出现的所有问题的解决； 3. 负责功能模块的性能优化和改进； 4. 负责系统可重用性模块的提取、实现； 5. 完成事业部上级领导交办的其他工作任务。 任职要求： 1、计算机相关专业本科或硕士学历毕业。 2、具备MFC开发经验或linux C++开发经验，1年及以上相关工作经历： 1）熟练使用VS.C++或者KDE、Eclipse.c++ 开发工具； 2）对某技术领域有一定的经验优先录用，例如：GIS、视频、数据库、统计分析、网络协议编程等； 3）熟悉MFC多线程技术、linux多线程、SOCKET编程、STL模板类及串口开发等经验优先 3. 具备良好的面向对象开发思想，有实际项目使用。 4. 具备需求、设计文档的编写能力和软件开发的基础框架设计能力以及相关经验。 5. 自学能力强，能够适应出差。
北京北信源软件股份有限公司西安分公司, C++ 中级工程师, 7-10万, 西安, 本科及以上, 2年工作经验, 职位描述： 模块代码编写和维护、单元测试、技术文档编写。 任职要求： 1. 计算机类相关专业本科或以上学历，1-3年工作经验； 2. 精通C/C++，熟练掌握数据结构和算法、熟悉STL，掌握OOA与OOD基本方法； 3. 熟悉软件工程原理，具有软件质量意识； 4. 熟练使用linux系统命令，熟悉Linux系统平台软件开发，具备Linux平台下C/C++/Python程序开发经验； 5. 熟悉TCP/IP网络编程，熟悉多线程开发； 6. 熟悉SQL Server、MySQL、Oracle数据库开发； 7. 具有较强的事业心、责任感以及良好的沟通表达能力和团队协作精神。
北京北信源软件股份有限公司西安分公司, C++ 高级工程师, 面议, 西安, 本科及以上, 4年工作经验, 职位描述： 1. 根据任务需求，负责系统架构设计，组织团队完成模块设计和系统集成； 2. 模块代码编写和维护、单元测试、技术文档编写； 3. 团队成员技术培训。 任职要求： 1. 计算机类相关专业本科或以上学历，4年以上工作经验，主持2个以上项目的设计和开发； 2. 精通C/C++，熟练掌握数据结构和算法、熟悉STL，掌握OOA与OOD基本方法； 3. 熟悉软件工程原理，具有软件质量意识； 4. 熟悉windows平台软件开发，了解windows核心编程，具备MFC或QT开发经验，具备服务程序开发经验； 5. 熟练使用linux系统命令，熟悉Linux系统平台软件开发，具备Linux平台下C/C++/Python程序开发经验； 6. 熟悉TCP/IP网络编程，熟悉多线程开发； 7. 熟悉SQL Server、MySQL、Oracle数据库开发； 8. 具有较强的事业心、责任感以及良好的沟通表达能力和团队协作精神。
汇纳科技, C++开发工程师-368, 7-10万, 西安, 学历不限, 2年工作经验, 岗位要求： 1、计算机等相关专业，本科学历1年以上C++软件开发工作经验，专科有良好编程开发经验者亦可 2、熟练C/C++，有良好的编程习惯； 3、熟练掌握Windows环境下多线程、socket网络编程； 4、熟悉sql数据库； 5、有良好的理解沟通能力、有团队协作精神。  岗位职责： 1、项目维护； 2、新功能开发； 3、相关文档撰写。
交大捷普, Linux环境c语言开发工程师, 6-7万, 西安-雁塔区, 本科及以上, 2年工作经验, 岗位职责： 1、参与产品的总体设计（基于LINUX操作系统）； 2. 完成相关功能模块的开发； 3. 负责相关代码编写，bug的修改，文档的维护等； 4. 熟悉不同平台下Linux的系统构建，运行环境搭建，以及运行环境优化。 任职资格： 1、计算机或相关专业、本科以上学历，2年以上Linux环境下软件开发工作经验； 2、熟悉Linux操作、gcc编译器及gdb调试工具 ； 3、熟练掌握TCP/IP协议及网络基础知识；能够使用c或c++语言独立完成模块设计、编码及测试。 4、具备较强的逻辑分析和独立解决问题能力； 5、较强的沟通能力和钻研精神，抗压能力强。
交大捷普, 高级C/C++工程师, 10-14万, 西安, 本科及以上, 2年工作经验, 岗位职责： 1、参与产品的需求调研及产品设计讨论与分析，并负责相关技术文档的编写； 2、搭建系统开发环境，完成系统框架和核心代码编写； 3、指导软件工程师的日常开发工作，解决开发中的技术难题； 4、协助产品开发经理完成产品的测试、系统交付工作。 任职资格： 1、计算机相关专业，本科以上学历，5年以上软件产品开发经验； 2、精通Windows、Linux底层知识或网络编程知识，熟练掌握多线程/进程技术，熟练使用C/C++编程语言。 3、精通面向对象设计或设计模式，熟悉大型数据库开发； 4、熟悉网络安全产品，如防火墙、信息审计、VPN、入侵检测、主机审计等优先录取； 5、有良好的沟通及团队协作能力，敢于接受压力和挑战； 6、有主导产品开发成功经验者优先考虑。
圆益(西安)半导体科技有限公司, C/S工程师, 12-14万, 西安, 大专及以上, 1年工作经验, 半导体行业CVD/METAL工作经验，大专以上学历，电子电气专业，会韩语优先。 接受应届毕业生
西咸新区秦汉新城新丝路数字文化科技有限公司, C++开发工程师, 12-22万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1. 负责客户端软件的产品开发和维护及代码重构； 2. 负责传输软件的开发、维护； 3. 对开发系统产生的需求和问题快速响应。  任职要求： 1. 精通C++编程技术，熟悉python，熟悉SQL Server、MySQL等数据库操作； 2. 精通tcp、udp编程，精通iocp、select、epoll等； 3. 熟悉windows/linux/Mac中的一种或多种，windows是必须项； 4. 熟悉文件或视频流传输优先； 5. 思路清晰，善于思考与沟通，良好的分析和独立解决问题的能力。
心像科技, C#高级软件工程师, 12-24万, 西安, 统招本科, 经验不限, 岗位职责： 1.负责对行业前沿资讯收集与整理，对新技术原理、方案进行全面深入分析； 2.负责快速学习研究新技术，形成新技术的开发能力； 3.负责对难点技术进行预研； 4.负责编写可行性新技术技术说明文档； 5.负责对相关部门进行可行性技术培训； 任职要求： 1.计算机等相关专业本科上学历； 2.在Revit、Skyline、手机App等开发有一定经验者优先； 3.在数据结构、几何算法等有一定经验者优先； 4.在人工智能、机器学习领域有一定实际经验的优先。 5.良好的沟通能力和团队协作能力； 6.能熟练地阅读英文文献和资料；
