name, job, salary, localtion, education, exp, discription
济南互信互通信息技术有限公司, 西安-c/c++开发工程师, 7-14万, 西安, 统招本科, 2年工作经验, 1.岗位职责 1）负责公司产品开发工作； 2）能够独立完成产品功能模块的设计、开发、测试； 工作地点：公司西安研发中心 2、岗位要求 1）拥有至少2年以上Linux下C/C++开发经验； 2）熟练掌握多线程编程技术、了解Linux内核原理； 3）拥有良好、扎实的计算机网络基础，熟悉TCP/IP协议，有ACE、libpcap、dpdk开发经验的优先考虑； 4）工作责任心强，具备良好的团队合作精神，良好的沟通及协作能力。 我们真诚期待您的加入，让我们共同为了一份事业而努力！
TMS云, C#软件工程师（SaaS）, 6-11万, 西安-高新区, 本科及以上, 2年工作经验, 1. 熟悉.net平台的应用开发，特别是B/S架构系统开发 2. 熟练使用ASP.NET开发Web应用程序，熟悉HTML、Javascrpt、CSS 3. 1年以上C#/ASP.NET编程经验 4. 熟练掌握数据库编程，MYSQL或者Oracle 5. 有较强的团队合作意识和敬业精神 6. 熟悉WCF/WPF/WF/AJAX等技术优先考虑
上海六界信息技术有限公司, c++开发工程师, 13-26万, 西安-雁塔区, 大专及以上, 2年工作经验, 职位描述： 1、设计和编写直播平台数据监视、抓取的客户端软件。 2、维护及更新现有的客户端软件。  基础要求： 1、熟悉C/C++，Linux开发经验2年以上。 2、熟悉TCP/IP、Socket通信开发，熟悉HTTP/WebSocket协议，能熟练运用多种网络库。 3、熟悉Web前端：HTML/CSS/Javascript、ActionScript3。 4、有较强的代码阅读/分析能力。 5、有爬虫类工具开发经验。  加分项(需要具备至少两条)： 1、有较为复杂的爬虫类、逆向分析类作品。 2、有网站API抓取/分析经验。 3、熟悉JS跟踪调试、Flash反编译分析。 4、熟悉Android反编译/无源码调试/修改。 5、熟悉网络底层，熟悉抓包分析、跟踪。 6、熟悉AS3或NodeJS开发。
奧沃医学, C#软件工程师, 10-18万, 西安, 统招本科, 3年工作经验, 岗位职责 1、按计划完成开发项目组指定的开发任务； 2、参与项目的功能迭代，bug完善工作； 3、负责项目后续的技术支持； 4、解决开发过程中碰到的技术问题； 5、编写项目需要的相关文档  任职要求 1、 软件、计算机、信息等相关专业，本科及以上学历； 2、3年以上开发工作经验； 3、精通C#的应用程序开发，熟练使用WinForm内置控件，能够编写自定义控件.完成桌面应用程序开发； 4、UI设计能力功底较强，编程能力强者优先，精通C/S模式开发者优先； 5、英语4级以上，能熟练阅读专业英文资料。
长京益康, C#.NET程序员, 面议, 西安-高新区, 本科及以上, 经验不限, 1.熟悉Javascript等Web开发技术，精通html/xhtml、css等网页制作技术，熟悉页面架构和布局； 2.熟悉web标准，对表现与数据分离，html语言化等有深刻理解； 3.熟练掌握.NET Framework构架；熟练使用Visual Studio.NET开发工具； 4.熟悉主流数据库（例如Oracle、MSSQL、Mysql、PostgreSQL）中至少一种，熟练使用SQL语句； 5. 有良好的沟通能力、处理解决问题的能力、强烈的责任感和敬业精神，能承受相当的工作压力
大华技术, C/C++开发工程师, 12-18万, 西安, 本科及以上, 3年工作经验, 职责描述： 1、负责QT平台上桌面应用产品的研发； 2、根据产品的需求开发桌面应用软件产品； 3、负责系统结构设计，编写设计方案等相关文档； 4、对现有项目的维护；  任职要求： 1、本科及以上，编程基础扎实，具备良好的工程素养，精通C++语言和QT； 2、至少三年以上的QT应用开发经验； 3、熟悉mysql等数据库编程； 4、熟悉掌握tcp/ip协议相关知识，精通SOCKET编程、网络开发； 5、熟悉linux系统，有gcc.make等使用经验者优行； 6、有大型软件系统开发经验优先； 熟练Linux操作系统原理，精通Linux内核开发； 7、热爱软件开发，具有创新思维，了解新技术发展趋势； 8、有安防类相关经验优先
西安葡萄城信息技术有限公司, C#/.Net开发工程师(企业应用平台), 8-17万, 西安, 本科及以上, 2年工作经验, 职责描述： -企业应用平台开发 -从前端到后端的全站式开发 -在敏捷型团队中参与产品的设计、研发，施展才华  任职要求： -计算机相关专业本科以上学历 -2-5年开发经验 -精通C#编程 -熟悉.NET开发技术 -熟悉WPF者优先 -热爱编程 -良好的英文读写
北京特谱康科技有限公司, 高级C#软件工程师, 14-22万, 西安, 本科及以上, 5年工作经验, 岗位职责： 1.带领软件开发小组，实施项目管理 2.开发基于WPF的应用程序 3.开发仪表控制软件程序 任职要求： 1、大学本科或本科以上学历； 2、有五年以上实际的.NET（C#）和WPF开发经验； 3、 熟悉.NET编程，了解NET框架，具有架构设计经验，熟悉设计模式的分析方法，能在架构设计中灵活运用； 4、熟悉WPF开发，熟悉XAML代码语法，熟练掌握MVVM开发模式，熟悉模板开发、控件开发，熟悉布局系统； 5、熟悉线程开发、异步编程； 6、有良好的项目文档书写能力和编程风格； 7、有良好的沟通协调、团队协作能力和学习能力； 8、有强烈的责任心和钻研精神，做事积极主动； 9、具备一定的美工设计及项目管理经验尤佳。
北京北信源软件股份有限公司西安分公司, C++ 高级工程师, 面议, 西安, 本科及以上, 4年工作经验, 职位描述： 1. 根据任务需求，负责系统架构设计，组织团队完成模块设计和系统集成； 2. 模块代码编写和维护、单元测试、技术文档编写； 3. 团队成员技术培训。 任职要求： 1. 计算机类相关专业本科或以上学历，4年以上工作经验，主持2个以上项目的设计和开发； 2. 精通C/C++，熟练掌握数据结构和算法、熟悉STL，掌握OOA与OOD基本方法； 3. 熟悉软件工程原理，具有软件质量意识； 4. 熟悉windows平台软件开发，了解windows核心编程，具备MFC或QT开发经验，具备服务程序开发经验； 5. 熟练使用linux系统命令，熟悉Linux系统平台软件开发，具备Linux平台下C/C++/Python程序开发经验； 6. 熟悉TCP/IP网络编程，熟悉多线程开发； 7. 熟悉SQL Server、MySQL、Oracle数据库开发； 8. 具有较强的事业心、责任感以及良好的沟通表达能力和团队协作精神。
恒谦教育网, .net（C#）开发, 6-12万, 西安, 大专及以上, 1年工作经验, 1、1年以上.net(C#)相关开发经验； 2、B/S开发经验，有WPF或Silverlight开发经验1年以上均可。 3、熟悉DIV+CSS、AJAX、JavaScript、JQuery等WEB开发技术； 4、熟练使用一种数据库（SqlServer或Oracle）
